,unnamed: 0,country,total suicide rate,male rate,female rate,2022 population,average yearly temperature (1961–1990 celsius),inequality,ihdi,hdi,overall loss (%),growth since 2010,schizophrenia,bipolar disorder,eating disorders,anxiety disorders,drug use disorders,depression,alcohol use disorders,year,life ladder,log gdp per capita,social support,healthy life expectancy at birth,freedom to make life choices,generosity,perceptions of corruption,positive affect,negative affect
0,0,Lesotho,72.4,116.0,30.1,2305825,11.85,125,0.382,0.527,27.5,0.078,0.21,0.55,0.11,3.7,0.62,5.74,2.23,2019,3.512,"7,926",0.79,48.7,"0,716","-0,131","0,915","0,735","0,273"
1,1,South Korea,28.6,40.2,16.9,51815810,11.5,24,0.815,0.916,11.0,0.074,0.33,0.54,0.38,3.49,0.87,2.27,2.53,2019,5.903,"10,661",0.783,73.9,"0,706","-0,055","0,718","0,684","0,236"
2,2,Lithuania,26.1,45.4,9.6,2750055,6.2,31,0.791,0.882,10.3,0.055,0.31,0.56,0.19,4.58,0.86,4.29,2.19,2019,6.064,"10,518",0.918,67.9,"0,780","-0,251","0,783","0,566","0,276"
3,3,Russia,25.1,43.6,9.1,144713314,-5.35,42,0.74,0.824,10.2,0.049,0.3,0.55,0.17,3.38,1.22,3.32,2.93,2019,5.441,"10,205",0.91,64.7,"0,715","-0,116","0,848","0,691","0,200"
4,4,South Africa,23.5,37.6,9.8,59893885,17.75,107,0.468,0.709,34.0,0.011,0.23,0.58,0.17,3.92,0.98,4.45,1.94,2019,5.035,"9,432",0.848,56.9,"0,738","-0,134","0,820","0,801","0,268"
5,5,Ukraine,21.6,39.2,6.5,39701739,8.3,45,0.728,0.779,6.4,0.035,0.29,0.56,0.13,3.38,0.9,4.2,2.52,2019,4.702,"9,458",0.883,64.9,"0,715","-0,081","0,885","0,634","0,201"
6,6,Belarus,21.2,36.7,7.7,9534954,6.15,38,0.771,0.823,6.3,0.050,0.3,0.56,0.14,3.76,0.92,4.13,2.76,2019,5.821,"9,860",0.917,66.4,"0,657","-0,186","0,546","0,591","0,190"
7,7,Uruguay,21.2,34.5,8.9,3422794,17.55,48,0.712,0.817,12.7,0.055,0.34,1.07,0.38,5.58,1.34,3.07,1.83,2019,6.6,"9,979",0.933,69.1,"0,903","-0,095","0,599","0,889","0,222"
8,8,Montenegro,21.0,31.7,10.4,627082,10.55,41,0.749,0.829,9.7,0.026,0.31,0.58,0.17,3.93,0.65,3.03,2.03,2019,5.386,"9,970",0.832,68.7,"0,694","-0,105","0,820","0,591","0,366"
9,9,Latvia,20.1,35.5,7.0,1850651,5.6,34,0.783,0.866,9.6,0.050,0.31,0.56,0.18,4.05,1.27,4.05,2.3,2019,5.97,"10,336",0.936,67.1,"0,698","-0,194","0,789","0,575","0,212"
10,10,Slovenia,19.8,31.4,8.3,2119844,8.9,9,0.875,0.917,4.6,0.047,0.32,0.59,0.2,3.66,0.86,3.37,2.61,2019,6.665,"10,563",0.949,71.4,"0,945","-0,102","0,785","0,679","0,228"
11,11,Belgium,18.3,24.9,11.8,11655930,9.55,13,0.859,0.931,7.7,0.026,0.3,0.99,0.48,5.55,1.17,3.9,2.52,2019,6.772,"10,853",0.884,72.2,"0,776","-0,172","0,672","0,733","0,244"
12,12,Mongolia,17.9,30.7,5.4,3398366,1.7,68,0.634,0.737,14.0,0.044,0.29,0.53,0.14,2.27,0.62,4.2,4.44,2019,5.563,"9,418",0.946,62.5,"0,711","0,149","0,873","0,707","0,167"
13,13,Kazakhstan,17.6,29.0,6.8,19397998,5.5,39,0.766,0.825,7.2,0.105,0.3,0.54,0.17,2.26,0.81,3.67,3.75,2019,6.272,"10,179",0.951,65.2,"0,852","-0,055","0,708","0,787","0,139"
14,14,Hungary,16.6,25.9,8.3,9967308,9.75,31,0.791,0.854,7.4,0.032,0.31,0.58,0.2,3.67,0.72,3.04,2.38,2019,6.0,"10,393",0.947,68.0,"0,798","-0,195","0,884","0,743","0,180"
15,15,Croatia,16.4,25.3,8.1,4030358,10.9,34,0.783,0.851,8.0,0.092,0.32,0.59,0.18,3.87,0.85,3.24,2.28,2019,5.626,"10,258",0.936,70.8,"0,739","-0,137","0,932","0,551","0,269"
16,16,United States,16.1,25.0,7.5,338289857,8.55,28,0.808,0.926,12.7,0.004,0.47,0.65,0.46,6.16,3.7,4.73,2.49,2019,6.944,"11,043",0.917,68.2,"0,836","0,144","0,707","0,815","0,244"
17,17,Japan,15.3,21.8,9.2,123951692,11.15,18,0.843,0.919,8.3,0.053[a],0.33,0.7,0.42,2.54,0.85,2.3,0.65,2019,5.908,"10,632",0.878,75.1,"0,806","-0,255","0,617","0,743","0,194"
18,18,Finland,15.3,23.2,7.6,5540745,1.55,4,0.888,0.938,5.3,0.040,0.29,0.98,0.53,4.39,1.13,4.55,2.49,2019,7.78,"10,792",0.937,72.0,"0,948","-0,052","0,195","0,755","0,181"
19,19,Estonia,14.9,24.3,6.5,1326062,2.0,19,0.829,0.882,7.1,0.051,0.31,0.56,0.19,3.65,1.69,3.99,1.86,2019,6.035,"10,511",0.934,68.8,"0,887","-0,096","0,576","0,804","0,156"
20,20,Sweden,14.7,19.9,9.5,10549347,1.75,7,0.882,0.945,6.7,0.033,0.29,1.06,0.56,5.21,0.87,4.47,2.36,2019,7.398,"10,882",0.934,72.7,"0,942","0,091","0,250","0,826","0,202"
21,21,Moldova,14.7,26.1,4.1,3272996,9.45,61,0.672,0.75,10.4,0.055,0.29,0.55,0.12,4.36,0.68,3.45,2.02,2019,5.803,"9,475",0.809,65.7,"0,784","-0,092","0,884","0,631","0,262"
22,22,Austria,14.6,22.8,6.7,8939617,6.35,15,0.857,0.922,7.0,0.021,0.3,0.99,0.62,6.58,1.16,3.42,2.76,2019,7.195,"10,939",0.964,73.3,"0,903","0,060","0,457","0,774","0,205"
